RedTeamName;most_common_abbreviation_number_of_occurences;Abbr_1
DRX;95;DRX
DRX Challengers;55;DRX
Disguised;40;DSG
Diversion Gaming;20;DVG
devils.one x KMT;45;DVKM
Divernex;30;DVX
DarkZero Dragonsteel;20;DZ
SHANGHAI EDWARD GAMING HYCAN;8;EDGAhn
SHANGHAI EDWARD GAMING HYCAN;14;EDGAngel
SHANGHAI EDWARD GAMING HYCAN;6;EDGAssum
SHANGHAI EDWARD GAMING HYCAN;14;EDGWink
SHANGHAI EDWARD GAMING HYCAN;14;EDGXiaohao
SHANGHAI EDWARD GAMING HYCAN;14;EDGZdz
Ethereal Enigmas;10;EE
Eternal Fire;65;EF
Eintracht Spandau;50;EINS
Entropiq;35;EIQ
EKO Esports;20;EKO
Team Paradox;3;ELO
eSuba;20;ESB
KIA.eSuba Academy;35;ESBA
Evermeet;15;ET
E Wie Einfach E-Sports;65;EWI
EXILE Esports;10;EXE
Fox Gaming;45;F0X
FRANK Esports;50;FAK
Fantastic Esports;5;FES
FLAMENGO MDL;25;FLA
Flame hard;35;FLH
FlyQuest;25;FLY
Fajnie Mieć Skład;20;FMS
Fnatic;80;FNC
FOG Esports;60;FOG
FunPlus Phoenix;12;FPXAssum
FunPlus Phoenix;3;FPXbat
FunPlus Phoenix;15;FPXCare
FunPlus Phoenix;15;FPXJwei
FunPlus Phoenix;14;FPXshad0w
FunPlus Phoenix;15;FPXsheer
FunPlus Phoenix;1;FPXsorrow
Forsaken Team;75;FSK
For the Win Esports Club;5;FTW
Fuego;10;FUE
FURIA;25;FUR
Farenvehn;10;FVN
Fluxo W7M;5;FX
Fluxo W7M;25;FXW7
G2 Esports;55;G2
GAM Esports;40;GAM
Gen.G Esports;65;GEN
Gen.G Global Academy;80;GEN
Geekay Esports;90;GK
Galions;90;GL
GLORE.FIFINE;35;GLR
GMBLERS Esports;49;GMB
GNG Amazigh;50;GNG
GOAL;20;GOAL
Gamespace MC;65;GSMC
Guasones;15;GSNS
GTZ Esports;15;GTZ
GrowUp Esports;5;GUP
GameWard;25;GW
GIANTX;95;GX
GIANTX PRIDE;70;GXP
Ground Zero Gaming;55;GZ
Hell ZeroLag;60;HELL
Hungkuang Falcon;30;HKUF
Hanwha Life Esports;115;HLE
HLE Challengers;90;HLE
HOF Esports;20;HOF
HELLPIGS;60;HPS
Hanoi Rookies Esports;35;HRK
Los Heretics;40;HRTS
Saigon Hyper Vortex Esports;20;HVE
ICON Esports;30;ICON
Isurus Estral;40;IE
Invictus Gaming;17;IGGALA
Invictus Gaming;17;IGJiejie
Invictus Gaming;17;IGMeiko
Invictus Gaming;17;IGRookie
Invictus Gaming;17;IGTheShy
Ici Japon Corp;105;IJC
Team Insidious;35;IN5
INFINITY;10;INF
Inside Games;5;ING
Beijing JDG Intel Esports;14;JDGAle
Beijing JDG Intel Esports;14;JDGMISSING
Beijing JDG Intel Esports;14;JDGPeyz
Beijing JDG Intel Esports;14;JDGScout
Beijing JDG Intel Esports;14;JDGXun
Joblife;35;JL
Jörmungang;25;JMGG
KAOS Esport;30;KAOS
KaBuM! IDL;50;KBM
Karmine Corp;120;KC
Karmine Corp Blue;79;KCB
Karmine Corp Blue;2;KCBS
Kareha Children;25;KCH
Kaufland Hangry Knights;50;KHK
Fajnie Mieć Skład;55;KMF
Movistar KOI Fénix;20;KOI
Senshi eSports;3;Kruimel
kt Challengers;95;KT
kt Rolster;90;KT
Keypulse Esports;20;KYP
LODIS;40;LDS
LEVIATÁN;45;LEV
Luminosity Gaming;35;LG
Hangzhou LGD Gaming;6;LGDclimber
Hangzhou LGD Gaming;5;LGDnaiyou
Hangzhou LGD Gaming;11;LGDsasi
Hangzhou LGD Gaming;11;LGDShaoye
Hangzhou LGD Gaming;11;LGDxqw
Hangzhou LGD Gaming;11;LGDYcx
Lundqvist Lightside;10;LLS
Suzhou LNG Ninebot Esports;2;LNG5t5
Suzhou LNG Ninebot Esports;11;LNGhaichao
Suzhou LNG Ninebot Esports;4;LNGLP
Suzhou LNG Ninebot Esports;7;LNGPhotic
Suzhou LNG Ninebot Esports;7;LNGWeiwei
Suzhou LNG Ninebot Esports;2;LNGxiaofang
Suzhou LNG Ninebot Esports;11;LNGZhuo
Suzhou LNG Ninebot Esports;11;LNGZika
LOS;40;LOS
LOUD;45;LOUD
Leões de Porto Salvo Esports;10;LPS
Los Ratones;100;LR
LUA Gaming;30;LUA
Lupus Esports;30;LUP
LYON;30;LYON
Lyon Gaming Academy;20;LYON
Gentle Mates;65;M8
GMBLERS Esports;1;Mahonix
Maze Gaming Esports;5;MAZ
Macko Esports;35;MCK
mCon Esports;60;MCON
MAGAZA;5;MGZ
Mighty Eagles;10;MIE
Misa Esports;105;MISA
Movistar KOI Fénix;45;MKF
Movistar KOI;75;MKOI
Meavedron;40;MVE
Malvinas Gaming;28;MVG
MGN Vikings Esports;40;MVKE
Myth Esports;50;MYTH
Near Airport;50;NA
NightBirds;70;NBS
Night Cap;5;NCP
Norths Fury;5;NF
Vungtau Never Give Up;10;NGU
Nigma Galaxy;65;NGX
SHENZHEN NINJAS IN PYJAMAS;14;NIPAki
SHENZHEN NINJAS IN PYJAMAS;14;NIPDoinb
SHENZHEN NINJAS IN PYJAMAS;14;NIPLeave
SHENZHEN NINJAS IN PYJAMAS;14;NIPppgod
SHENZHEN NINJAS IN PYJAMAS;14;NIPshanji
NORD Esports;55;NORD
NONGSHIM RED FORCE;85;NS
NS Challengers;95;NS
Nice Try;25;NT
Orbit Anonymo;65;OAE
ODD Esports;30;ODD
Oh My God;2;OMGbeishang
Oh My God;3;OMGcharlotte
Oh My God;9;OMGHeng
Oh My God;10;OMGHery
Oh My God;7;OMGLinfeng
Oh My God;10;OMGMoham
Oh My God;10;OMGStarry
Odivelas Sports Club;20;OSC
Once Upon a Team;20;OUAT
paiN Gaming;35;PAIN
Peek Gaming;35;PK
Pulse Star;20;PLS
Partizan Sangal;5;PXS
QT DIG;25;QTD
RATZ;35;RATZ
Ramboot Club;50;RBT
REJECT;55;RC
RED Kalunga;25;RED
RED Kalunga Academy;30;RED
Team Refuse;15;RFS
Rich Gang;25;RG
Rogue;60;RGE
RISE Gaming;30;RISE
Royal Never Give Up;12;RNGJiaQi
Royal Never Give Up;2;RNGLele
Royal Never Give Up;12;RNGmilkyway
Royal Never Give Up;10;RNGNiket
Royal Never Give Up;12;RNGTangyuan
Royal Never Give Up;12;RNGXiaoxu
Rossmann Centaurs;50;ROSS
The Ruddy Sack;30;RS
Team Phantasma;1;S7N
Corinthians E-Sports;30;SCCP
SDM Tigres;25;SDM
QT DIG;15;SG
Eintracht Frankfurt;40;SGE
Fukuoka SoftBank HAWKS gaming;45;SHG
SICAR Esports;15;SIC
SK Gaming;25;SK
Solary;45;SLY
Supernova;40;SN
Senshi eSports;27;SNSH
SPIKE Syndicate;10;SPK
Spirit Quartz Gaming;30;SQG
Shopify Rebellion;30;SR
Saigon Silent Storm Esports;30;SSE
Str1ve Esports;10;ST1
my star;60;STAR
Stellae Gaming;35;STE
Papara SuperMassive ;100;SUP
T1;75;T1
T1 Esports Academy;115;T1
TOPESPORTS;35;TES
TOPESPORTS;20;TES369
TOPESPORTS;20;TESCreme
TOPESPORTS;20;TESCrisp
TOPESPORTS;20;TESJackeyLove
TOPESPORTS;20;TESKanavi
Saigon Team Flash;70;TF
Team Heretics;70;TH
Team Liquid Honda;65;TL
Talon;60;TLN
Talon Academy;35;TLNA
Team Meliora;15;TML
Tan'i eSports;25;TNI
TeamOrangeGaming;65;TOG
Team Phantasma;44;TP
Team Paradox;40;TPX
Saigon Secret;30;TS
Team Secret Club;10;TSC
Team Secret Whales;45;TSW
THUNDERTALKGAMING;21;TT1xn
THUNDERTALKGAMING;20;TTBeichuan
THUNDERTALKGAMING;21;TTFeather
THUNDERTALKGAMING;21;TTHOYA
THUNDERTALKGAMING;21;TTSeTab
THUNDERTALKGAMING;1;TTxiaohuangren
UCAM Esports;50;UCAM
ULF ESPORTS;50;ULF
Team UNiTY;45;UNIT
Ultra Prime;17;UP1Jiang
Ultra Prime;17;UPJunhao
Ultra Prime;6;UPRosielove
Ultra Prime;17;UPSaber
Ultra Prime;17;UPWako
Ultra Prime;11;UPXiaoxia
Unicorns of Love Sexy Edition;60;USE
Underworld Esports;5;UW
V3 Esports;5;V3
VeLocitY;5;VEL
Verdant;45;VER
Team Vitality;65;VIT
Vitality.Bee;45;VITB
VelbeliKaizokudan;5;VK
Vivo Keyd Stars;40;VKS
Vivo Keyd Stars Academy;35;VKS
VARREL YOUTH;50;VLY
Venomcrest;40;VNC
Veni Vidi Vici;40;VVV
Wap Esports;15;WAP
WeiboGaming Faw Audi;20;WBGBreathe
WeiboGaming Faw Audi;9;WBGErha
WeiboGaming Faw Audi;11;WBGHang
WeiboGaming Faw Audi;20;WBGLight
WeiboGaming Faw Audi;20;WBGTian
WeiboGaming Faw Audi;20;WBGXiaohu
White Dragons;10;WD
Xi'an Team WE;13;WECube
Xi'an Team WE;13;WEKaris
Xi'an Team WE;9;WEMonki
Xi'an Team WE;13;WETaeyoon
Xi'an Team WE;4;WETianzhen
Xi'an Team WE;13;WEVampire
We Can Win;5;WIN
WeLoveGaming;40;WLG
West Point Esports;105;WP
wangting;20;WT
Winthrop University;25;WU
Yang Yang Gaming;25;YYG
Zero Tenacity;105;Z10
Zeu5 Esports;25;Z5
Zena Esports;55;ZENA
ZennIT;55;ZNT
ZETA Gaming;30;ZTA
ZeroZone Gaming;20;ZZG
