"";"Role";"BlueTeamChampion";"RedTeamChampion";"PatchVersion";"games_played";"blue_side_kills";"blue_side_deaths";"blue_side_assists";"blue_side_cs_at_15_min";"blue_side_cs_at_end";"blue_side_gold_at_15_min";"blue_side_gold_at_end";"red_side_kills";"red_side_deaths";"red_side_assists";"red_side_cs_at_15_min";"red_side_cs_at_end";"red_side_gold_at_15_min";"red_side_gold_at_end";"blue_side_kills_advantage";"blue_side_deaths_advantage";"blue_side_assists_advantage";"blue_side_cs_at_15_min_advantage";"blue_side_cs_at_end_advantage";"blue_side_gold_at_15_min_advantage";"blue_side_gold_at_end_advantage";"blue_side_kills_advantage_advantage";"blue_side_deaths_advantage_advantage";"blue_side_assists_advantage_advantage";"blue_side_cs_at_15_min_advantage_advantage";"blue_side_cs_at_end_advantage_advantage";"blue_side_gold_at_15_min_advantage_advantage";"blue_side_gold_at_end_advantage_advantage"
"2038";"jungle";"Sejuani";"Vi";"15.2.653.8382";2;1,5;2;5;98;187,5;4479;9674,5;1,5;3;5,5;98;193,5;4397;10493,5;0;-1;-0,5;0;-6;82;-819;0;-1;-0,5;0;-6;82;-819
"2039";"jungle";"Sejuani";"Vi";"15.3.655.330";6;1,33333333333333;2,83333333333333;5;96,1666666666667;161,666666666667;4363,33333333333;8364,5;1,5;1,66666666666667;6,5;96,8333333333333;189;4546,83333333333;9554,66666666667;-0,166666666666667;1,16666666666667;-1,5;-0,666666666666657;-27,3333333333333;-183,5;-1190,16666666667;-0,166666666666667;1,16666666666667;-1,5;-0,666666666666657;-27,3333333333333;-183,5;-1190,16666666667
"2040";"jungle";"Sejuani";"Vi";"15.3.659.3416";3;1,33333333333333;0,333333333333333;7,33333333333333;99;186,666666666667;4807,66666666667;10167,3333333333;3,33333333333333;2,33333333333333;3,33333333333333;108,666666666667;207,333333333333;4981,66666666667;11363;-2;-2;4;-9,66666666666667;-20,6666666666667;-174;-1195,66666666667;-2;-2;4;-9,66666666666667;-20,6666666666667;-174;-1195,66666666667
"2041";"jungle";"Sejuani";"Vi";"15.4.657.5386";1;4;1;7;102;139;5178;8705;1;2;6;88;149;4768;8027;3;-1;1;14;-10;410;678;3;-1;1;14;-10;410;678
"2042";"jungle";"Sejuani";"Vi";"15.4.658.6996";2;2;1,5;10;68,5;195,5;3342,5;10427,5;3;3,5;9,5;55;183,5;3203,5;10235;-1;-2;0,5;13,5;12;139;192,5;-1;-2;0,5;13,5;12;139;192,5
"2043";"jungle";"Sejuani";"Vi";"15.5.662.5311";3;2,66666666666667;3,66666666666667;7;86;146,333333333333;4895,33333333333;8868,33333333333;3;3;7,33333333333333;89,6666666666667;186;4693,66666666667;10087,3333333333;-0,333333333333333;0,666666666666667;-0,333333333333333;-3,66666666666667;-39,6666666666667;201,666666666666;-1219;-0,333333333333333;0,666666666666667;-0,333333333333333;-3,66666666666667;-39,6666666666667;201,666666666666;-1219
"2044";"jungle";"Sejuani";"Vi";"15.6.665.8352";5;1,6;1,8;7;102,6;174,2;4740,8;9038;3,2;2,4;3,6;109,4;198,2;5408,6;10304,4;-1,6;-0,6;3,4;-6,80000000000001;-24;-667,8;-1266,4;-1,6;-0,6;3,4;-6,80000000000001;-24;-667,8;-1266,4
"2045";"jungle";"Sejuani";"Vi";"15.6.667.3303";2;0,5;3;4;77,5;153,5;3895;7475;1,5;0,5;4,5;100,5;186,5;4635;8759;-1;2,5;-0,5;-23;-33;-740;-1284;-1;2,5;-0,5;-23;-33;-740;-1284
"2046";"jungle";"Sejuani";"Vi";"15.7.671.9073";5;1,8;2;7,4;91,6;185;4163,6;10150;2,8;4;7,4;95,4;215,6;4270,4;11419,8;-1;-2;0;-3,80000000000001;-30,6;-106,799999999999;-1269,8;-1;-2;0;-3,80000000000001;-30,6;-106,799999999999;-1269,8
"2047";"jungle";"Sejuani";"Vi";"15.8.674.6483";1;1;3;3;103;144;4488;7589;4;1;10;115;191;4785;10093;-3;2;-7;-12;-47;-297;-2504;-3;2;-7;-12;-47;-297;-2504
"2048";"jungle";"Sejuani";"Vi";"15.8.675.448";7;2,14285714285714;2,28571428571429;7,85714285714286;97,5714285714286;196;4498;10620;2,42857142857143;2,71428571428571;7,71428571428571;99,5714285714286;212,571428571429;4985,42857142857;11362;-0,285714285714286;-0,428571428571429;0,142857142857142;-2;-16,5714285714286;-487,428571428572;-742;-0,285714285714286;-0,428571428571429;0,142857142857142;-2;-16,5714285714286;-487,428571428572;-742
"2049";"jungle";"Sejuani";"Viego";"15.1.649.4112";3;1,33333333333333;2;9,66666666666667;91;168,333333333333;4764,33333333333;9173,33333333333;4,66666666666667;3,66666666666667;4,66666666666667;99,6666666666667;177,333333333333;5039,66666666667;10438,6666666667;-3,33333333333333;-1,66666666666667;5;-8,66666666666667;-9;-275,333333333334;-1265,33333333333;-3,33333333333333;-1,66666666666667;5;-8,66666666666667;-9;-275,333333333334;-1265,33333333333
"2050";"jungle";"Sejuani";"Viego";"15.2.650.9216";1;1;0;3;108;153;4618;7589;1;1;7;107;194;5018;9492;0;-1;-4;1;-41;-400;-1903;0;-1;-4;1;-41;-400;-1903
"2051";"jungle";"Sejuani";"Viego";"15.2.652.6393";1;3;0;4;90;218;4022;11570;3;2;0;102;267;5131;12010;0;-2;4;-12;-49;-1109;-440;0;-2;4;-12;-49;-1109;-440
"2052";"jungle";"Sejuani";"Viego";"15.2.653.8382";3;1,66666666666667;1,66666666666667;8,33333333333333;105;187,333333333333;4719;9858;2,66666666666667;2,66666666666667;3,33333333333333;98,3333333333333;188,333333333333;4933;10472;-1;-1;5;6,66666666666667;-1;-214;-614;-1;-1;5;6,66666666666667;-1;-214;-614
"2053";"jungle";"Sejuani";"Viego";"15.3.655.330";2;2;4;8;91;178;4431,5;10661;8,5;2;3;107,5;229,5;5497,5;13930;-6,5;2;5;-16,5;-51,5;-1066;-3269;-6,5;2;5;-16,5;-51,5;-1066;-3269
"2054";"jungle";"Sejuani";"Viego";"15.4.658.6996";1;3;2;11;64;140;3717;8470;3;4;8;61;159;3309;9386;0;-2;3;3;-19;408;-916;0;-2;3;3;-19;408;-916
"2055";"jungle";"Sejuani";"Viego";"15.5.662.5311";1;1;2;12;75;151;4225;8841;1;3;7;79;178;4113;9187;0;-1;5;-4;-27;112;-346;0;-1;5;-4;-27;112;-346
"2056";"jungle";"Sejuani";"Viego";"15.7.670.1561";1;0;5;1;67;92;3701;5035;8;0;4;103;158;6546;9896;-8;5;-3;-36;-66;-2845;-4861;-8;5;-3;-36;-66;-2845;-4861
"2057";"jungle";"Sejuani";"Viego";"15.7.671.9073";2;3,5;3;9,5;95,5;188;4474;11637,5;5;2,5;4;102;242,5;5343;12522,5;-1,5;0,5;5,5;-6,5;-54,5;-869;-885;-1,5;0,5;5,5;-6,5;-54,5;-869;-885
"2058";"jungle";"Sejuani";"Viego";"15.8.675.448";2;0,5;2,5;7,5;104,5;171,5;4725;8565;4,5;1;6,5;115;197,5;4987,5;10804;-4;1,5;1;-10,5;-26;-262,5;-2239;-4;1,5;1;-10,5;-26;-262,5;-2239
"2059";"jungle";"Sejuani";"XinZhao";"15.1.649.4112";3;2;1,33333333333333;7,66666666666667;95,3333333333333;188,333333333333;4831,33333333333;11166;1;4;6;90,6666666666667;189,333333333333;4418,66666666667;10050;1;-2,66666666666667;1,66666666666667;4,66666666666666;-1;412,666666666666;1116;1;-2,66666666666667;1,66666666666667;4,66666666666666;-1;412,666666666666;1116
"2060";"jungle";"Sejuani";"XinZhao";"15.2.650.9216";1;0;1;6;98;216;4615;10950;4;1;3;91;203;5016;12541;-4;0;3;7;13;-401;-1591;-4;0;3;7;13;-401;-1591
"2061";"jungle";"Sejuani";"XinZhao";"15.2.652.6393";4;1,75;3,25;6;88;165,75;4469;9068,5;2,75;2;8;91,5;176,75;4627,75;10605;-1;1,25;-2;-3,5;-11;-158,75;-1536,5;-1;1,25;-2;-3,5;-11;-158,75;-1536,5
"2062";"jungle";"Sejuani";"XinZhao";"15.2.653.8382";3;1,33333333333333;2,66666666666667;6;103,666666666667;193;4730,33333333333;9873,66666666667;2;3,33333333333333;5,33333333333333;88;178,333333333333;4427,66666666667;10065,3333333333;-0,666666666666667;-0,666666666666667;0,666666666666667;15,6666666666667;14,6666666666667;302,666666666666;-191,666666666668;-0,666666666666667;-0,666666666666667;0,666666666666667;15,6666666666667;14,6666666666667;302,666666666666;-191,666666666668
"2063";"jungle";"Sejuani";"XinZhao";"15.3.655.330";1;2;2;4;90;202;4214;11147;0;2;7;106;258;4719;12066;2;0;-3;-16;-56;-505;-919;2;0;-3;-16;-56;-505;-919
"2064";"jungle";"Sejuani";"XinZhao";"15.3.659.3416";1;1;4;5;107;182;5076;9543;5;2;9;100;205;5770;11657;-4;2;-4;7;-23;-694;-2114;-4;2;-4;7;-23;-694;-2114
"2065";"jungle";"Sejuani";"XinZhao";"15.4.657.5386";1;0;2;2;95;150;4356;7104;0;2;5;99;164;4389;8042;0;0;-3;-4;-14;-33;-938;0;0;-3;-4;-14;-33;-938
"2066";"jungle";"Sejuani";"XinZhao";"15.4.658.6996";2;2;0,5;6,5;83,5;153,5;4118;8368,5;1;2,5;3;79,5;156;3954,5;8260;1;-2;3,5;4;-2,5;163,5;108,5;1;-2;3,5;4;-2,5;163,5;108,5
"2067";"jungle";"Sejuani";"XinZhao";"15.6.667.3303";4;0,75;1,25;4,25;92,25;205,75;4112,75;10644;1,25;2,5;5,5;95,5;245,25;4200,5;12047,5;-0,5;-1,25;-1,25;-3,25;-39,5;-87,75;-1403,5;-0,5;-1,25;-1,25;-3,25;-39,5;-87,75;-1403,5
"2068";"jungle";"Sejuani";"XinZhao";"15.7.670.1561";1;1;7;5;87;155;4536;8688;4;3;11;72;158;4362;10488;-3;4;-6;15;-3;174;-1800;-3;4;-6;15;-3;174;-1800
"2069";"jungle";"Sejuani";"XinZhao";"15.7.671.9073";5;3,2;2,4;5,4;91,6;173,2;4824;9490,8;2;3;6,4;103,8;182,6;5071;9718,6;1,2;-0,6;-1;-12,2;-9,40000000000001;-247;-227,800000000001;1,2;-0,6;-1;-12,2;-9,40000000000001;-247;-227,800000000001
"2070";"jungle";"Sejuani";"XinZhao";"15.8.675.448";11;2,27272727272727;2,63636363636364;7,72727272727273;87,9090909090909;159,181818181818;4490;9004,72727272727;2,81818181818182;2,72727272727273;7,72727272727273;96,9090909090909;183;4597,36363636364;10010,9090909091;-0,545454545454545;-0,0909090909090908;0;-9;-23,8181818181818;-107,363636363636;-1006,18181818182;-0,545454545454545;-0,0909090909090908;0;-9;-23,8181818181818;-107,363636363636;-1006,18181818182
"2071";"jungle";"Sejuani";"Zac";"15.2.653.8382";1;1;1;8;94;142;4448;7339;1;2;5;77;129;4588;7868;0;-1;3;17;13;-140;-529;0;-1;3;17;13;-140;-529
"2072";"jungle";"Sejuani";"Zyra";"15.1.645.7528";1;0;4;10;77;164;4645;9192;6;4;9;89;189;5616;11293;-6;0;1;-12;-25;-971;-2101;-6;0;1;-12;-25;-971;-2101
"2073";"jungle";"Sejuani";"Zyra";"15.2.652.6393";1;2;1;3;97;128;5052;6508;2;0;7;114;152;5221;7721;0;1;-4;-17;-24;-169;-1213;0;1;-4;-17;-24;-169;-1213
"2074";"jungle";"Sejuani";"Zyra";"15.2.653.8382";1;0;2;2;119;215;4862;9526;4;1;8;120;228;5797;12722;-4;1;-6;-1;-13;-935;-3196;-4;1;-6;-1;-13;-935;-3196
"2075";"jungle";"Sejuani";"Zyra";"15.4.658.6996";1;2;1;9;95;209;4443;10615;4;4;1;104;191;4818;10889;-2;-3;8;-9;18;-375;-274;-2;-3;8;-9;18;-375;-274
"2076";"jungle";"Sejuani";"Zyra";"15.6.667.3303";1;2;2;2;79;155;4128;8460;2;0;7;106;244;4907;11587;0;2;-5;-27;-89;-779;-3127;0;2;-5;-27;-89;-779;-3127
"2077";"jungle";"Sion";"Karthus";"15.2.653.8382";1;1;2;6;94;210;4477;11968;6;3;5;131;310;6043;16883;-5;-1;1;-37;-100;-1566;-4915;-5;-1;1;-37;-100;-1566;-4915
"2078";"jungle";"Skarner";"Amumu";"15.8.675.448";1;1;0;4;96;175;4486;7921;0;2;4;93;143;4383;7179;1;-2;0;3;32;103;742;1;-2;0;3;32;103;742
"2079";"jungle";"Skarner";"Belveth";"15.7.670.1561";1;1;0;2;87;116;4664;6319;0;4;1;96;124;4259;5745;1;-4;1;-9;-8;405;574;1;-4;1;-9;-8;405;574
"2080";"jungle";"Skarner";"Brand";"15.3.655.330";1;1;0;8;100;134;5193;7332;2;3;3;104;142;5374;6851;-1;-3;5;-4;-8;-181;481;-1;-3;5;-4;-8;-181;481
"2081";"jungle";"Skarner";"Brand";"15.7.669.5499";1;2;2;9;112;178;4683;8636;2;5;0;116;170;4787;8448;0;-3;9;-4;8;-104;188;0;-3;9;-4;8;-104;188
"2082";"jungle";"Skarner";"DrMundo";"15.8.675.448";1;1;5;3;84;130;4588;7140;2;2;5;113;205;5166;9498;-1;3;-2;-29;-75;-578;-2358;-1;3;-2;-29;-75;-578;-2358
"2083";"jungle";"Skarner";"Gwen";"15.6.667.3303";3;0,666666666666667;3;5;84,6666666666667;153,666666666667;4220;8394,66666666667;3;2,33333333333333;5,33333333333333;103,333333333333;226;4987,66666666667;11741,3333333333;-2,33333333333333;0,666666666666667;-0,333333333333333;-18,6666666666667;-72,3333333333333;-767,666666666667;-3346,66666666667;-2,33333333333333;0,666666666666667;-0,333333333333333;-18,6666666666667;-72,3333333333333;-767,666666666667;-3346,66666666667
"2084";"jungle";"Skarner";"Ivern";"15.1.649.4112";1;1;0;4;98;204;4513;10380;0;2;2;94;192;4768;10636;1;-2;2;4;12;-255;-256;1;-2;2;4;12;-255;-256
"2085";"jungle";"Skarner";"Ivern";"15.2.653.8382";1;0;3;9;75;159;3653;9250;2;2;8;78;159;4498;9562;-2;1;1;-3;0;-845;-312;-2;1;1;-3;0;-845;-312
"2086";"jungle";"Skarner";"Ivern";"15.3.655.330";2;0,5;3;3,5;91,5;146,5;4319;7272,5;2;0,5;9,5;80;146;4826;9234,5;-1,5;2,5;-6;11,5;0,5;-507;-1962;-1,5;2,5;-6;11,5;0,5;-507;-1962
"2087";"jungle";"Skarner";"Ivern";"15.4.658.6996";3;2,66666666666667;2,66666666666667;2,66666666666667;62,3333333333333;151,666666666667;3590;8574,66666666667;2;0,666666666666667;9;69,6666666666667;177,333333333333;3904;10490;0,666666666666667;2;-6,33333333333333;-7,33333333333334;-25,6666666666667;-314;-1915,33333333333;0,666666666666667;2;-6,33333333333333;-7,33333333333334;-25,6666666666667;-314;-1915,33333333333
"2088";"jungle";"Skarner";"Ivern";"15.6.667.3303";1;3;0;4;95;159;4726;8578;1;2;3;89;155;4574;8319;2;-2;1;6;4;152;259;2;-2;1;6;4;152;259
"2089";"jungle";"Skarner";"Ivern";"15.7.671.9073";3;0;2,33333333333333;6,33333333333333;82,3333333333333;145;4271;7809,66666666667;2;0,666666666666667;9,33333333333333;87,6666666666667;148,666666666667;4769;9488;-2;1,66666666666667;-3;-5,33333333333334;-3,66666666666666;-498;-1678,33333333333;-2;1,66666666666667;-3;-5,33333333333334;-3,66666666666666;-498;-1678,33333333333
"2090";"jungle";"Skarner";"Ivern";"15.8.675.448";1;1;0;3;97;161;4743;8115;0;3;1;79;140;4326;7468;1;-3;2;18;21;417;647;1;-3;2;18;21;417;647
"2091";"jungle";"Skarner";"JarvanIV";"15.4.658.6996";1;4;0;8;77;134;4368;8867;3;6;3;80;155;4047;8202;1;-6;5;-3;-21;321;665;1;-6;5;-3;-21;321;665
"2092";"jungle";"Skarner";"JarvanIV";"15.7.671.9073";1;1;6;9;68;218;3271;13210;1;3;11;75;256;3144;13111;0;3;-2;-7;-38;127;99;0;3;-2;-7;-38;127;99
"2093";"jungle";"Skarner";"Kayn";"15.7.670.1561";1;1;2;3;90;150;4466;7106;8;2;6;100;185;5199;10996;-7;0;-3;-10;-35;-733;-3890;-7;0;-3;-10;-35;-733;-3890
"2094";"jungle";"Skarner";"Kindred";"15.7.671.9073";1;1;1;11;86;183;3808;11401;4;2;4;96;306;4018;14198;-3;-1;7;-10;-123;-210;-2797;-3;-1;7;-10;-123;-210;-2797
"2095";"jungle";"Skarner";"LeeSin";"15.8.675.448";1;1;4;4;79;135;4454;8156;4;2;8;116;251;6384;12809;-3;2;-4;-37;-116;-1930;-4653;-3;2;-4;-37;-116;-1930;-4653
"2096";"jungle";"Skarner";"Lillia";"15.1.649.4112";1;3;5;10;83;176;4024;10841;6;3;3;105;256;5653;13451;-3;2;7;-22;-80;-1629;-2610;-3;2;7;-22;-80;-1629;-2610
"2097";"jungle";"Skarner";"Lillia";"15.6.667.3303";1;2;3;10;91;204;4525;10775;1;4;6;93;188;4692;9793;1;-1;4;-2;16;-167;982;1;-1;4;-2;16;-167;982
"2098";"jungle";"Skarner";"Lillia";"15.7.669.5499";3;2;3,33333333333333;9,66666666666667;105;239;4701;12305,6666666667;3,66666666666667;3,66666666666667;7,66666666666667;105,333333333333;259,666666666667;5021,66666666667;13456;-1,66666666666667;-0,333333333333333;2;-0,333333333333329;-20,6666666666667;-320,666666666667;-1150,33333333333;-1,66666666666667;-0,333333333333333;2;-0,333333333333329;-20,6666666666667;-320,666666666667;-1150,33333333333
"2099";"jungle";"Skarner";"Lillia";"15.7.671.9073";1;2;4;5;93;155;4863;8582;5;1;12;101;218;5547;12736;-3;3;-7;-8;-63;-684;-4154;-3;3;-7;-8;-63;-684;-4154
"2100";"jungle";"Skarner";"Lillia";"15.8.674.6483";2;1,5;0,5;7;96,5;216,5;4456,5;10549,5;2;1;2;110,5;251,5;4811,5;11200;-0,5;-0,5;5;-14;-35;-355;-650,5;-0,5;-0,5;5;-14;-35;-355;-650,5
"2101";"jungle";"Skarner";"Lillia";"15.8.675.448";3;0,666666666666667;2;3;102,333333333333;163;4769,33333333333;7979,66666666667;3,66666666666667;0,333333333333333;2,66666666666667;117;208;5334,66666666667;10104,6666666667;-3;1,66666666666667;0,333333333333333;-14,6666666666667;-45;-565,333333333334;-2125;-3;1,66666666666667;0,333333333333333;-14,6666666666667;-45;-565,333333333334;-2125
"2102";"jungle";"Skarner";"Maokai";"15.2.653.8382";1;2;1;5;99;260;4259;12579;0;2;5;83;177;4001;9117;2;-1;0;16;83;258;3462;2;-1;0;16;83;258;3462
"2103";"jungle";"Skarner";"Maokai";"15.3.659.3416";1;0;7;6;90;177;4202;10931;0;1;16;102;215;4278;13546;0;6;-10;-12;-38;-76;-2615;0;6;-10;-12;-38;-76;-2615
"2104";"jungle";"Skarner";"Maokai";"15.4.658.6996";1;1;4;6;86;137;4181;7418;3;0;3;101;157;5081;8666;-2;4;3;-15;-20;-900;-1248;-2;4;3;-15;-20;-900;-1248
"2105";"jungle";"Skarner";"Maokai";"15.5.662.5311";1;4;4;5;79;150;5153;9307;4;0;13;95;167;4625;9579;0;4;-8;-16;-17;528;-272;0;4;-8;-16;-17;528;-272
"2106";"jungle";"Skarner";"Maokai";"15.6.665.8352";2;3;2,5;8,5;100;205,5;5158;11734,5;0,5;4;10,5;96;198;4593,5;10660;2,5;-1,5;-2;4;7,5;564,5;1074,5;2,5;-1,5;-2;4;7,5;564,5;1074,5
"2107";"jungle";"Skarner";"Maokai";"15.6.667.3303";3;1,66666666666667;0,666666666666667;6,33333333333333;78,6666666666667;175,333333333333;3916;9995,66666666667;1,66666666666667;1,66666666666667;3;89,3333333333333;206,666666666667;4113;10150,6666666667;0;-1;3,33333333333333;-10,6666666666667;-31,3333333333333;-197;-155;0;-1;3,33333333333333;-10,6666666666667;-31,3333333333333;-197;-155
"2108";"jungle";"Skarner";"Maokai";"15.7.670.1561";1;0;2;2;100;192;4350;8991;1;2;6;89;178;4662;8960;-1;0;-4;11;14;-312;31;-1;0;-4;11;14;-312;31
"2109";"jungle";"Skarner";"Maokai";"15.7.671.9073";3;3;2,33333333333333;10;101,666666666667;187;5124,66666666667;10189,3333333333;2,33333333333333;2,33333333333333;6,33333333333333;97,3333333333333;174,666666666667;4825,66666666667;9743,66666666667;0,666666666666667;0;3,66666666666667;4,33333333333334;12,3333333333333;299;445,666666666668;0,666666666666667;0;3,66666666666667;4,33333333333334;12,3333333333333;299;445,666666666668
"2110";"jungle";"Skarner";"Maokai";"15.8.675.448";1;1;1;10;73;156;3584;9485;0;3;4;87;128;3964;7441;1;-2;6;-14;28;-380;2044;1;-2;6;-14;28;-380;2044
"2111";"jungle";"Skarner";"MonkeyKing";"15.1.649.4112";1;2;3;8;79;184;4144;11825;4;1;4;93;237;4456;13074;-2;2;4;-14;-53;-312;-1249;-2;2;4;-14;-53;-312;-1249
"2112";"jungle";"Skarner";"MonkeyKing";"15.5.662.5311";3;1;5,33333333333333;5,33333333333333;75,3333333333333;163,333333333333;4166,66666666667;8740,33333333333;1,66666666666667;2;7,33333333333333;91,3333333333333;189,333333333333;4451,33333333333;9810,66666666667;-0,666666666666667;3,33333333333333;-2;-16;-26;-284,666666666666;-1070,33333333333;-0,666666666666667;3,33333333333333;-2;-16;-26;-284,666666666666;-1070,33333333333
"2113";"jungle";"Skarner";"MonkeyKing";"15.7.670.1561";1;1;3;5;91;201;4340;11323;2;1;9;87;225;4455;12546;-1;2;-4;4;-24;-115;-1223;-1;2;-4;4;-24;-115;-1223
"2114";"jungle";"Skarner";"MonkeyKing";"15.7.671.9073";1;3;1;2;111;169;4933;8781;0;2;1;110;171;4603;7665;3;-1;1;1;-2;330;1116;3;-1;1;1;-2;330;1116
"2115";"jungle";"Skarner";"Mordekaiser";"15.7.670.1561";1;3;1;9;97;159;4764;9359;1;5;2;119;186;5063;8197;2;-4;7;-22;-27;-299;1162;2;-4;7;-22;-27;-299;1162
"2116";"jungle";"Skarner";"Naafiri";"15.6.667.3303";2;2,5;1,5;4,5;101,5;189,5;4826,5;10870,5;2;1,5;6,5;113;245;4896,5;12159,5;0,5;0;-2;-11,5;-55,5;-70;-1289;0,5;0;-2;-11,5;-55,5;-70;-1289
"2117";"jungle";"Skarner";"Naafiri";"15.7.669.5499";1;0;2;4;98;162;4495;7623;4;2;11;100;166;5108;9518;-4;0;-7;-2;-4;-613;-1895;-4;0;-7;-2;-4;-613;-1895
"2118";"jungle";"Skarner";"Naafiri";"15.7.670.1561";1;0;2;9;77;112;4089;6875;7;1;5;104;192;5672;10864;-7;1;4;-27;-80;-1583;-3989;-7;1;4;-27;-80;-1583;-3989
"2119";"jungle";"Skarner";"Naafiri";"15.7.671.9073";4;1,25;2,25;3,75;102,25;175,25;4671,25;9126,25;4;0,25;6,25;103,75;219,5;5175,25;11493,5;-2,75;2;-2,5;-1,5;-44,25;-504;-2367,25;-2,75;2;-2,5;-1,5;-44,25;-504;-2367,25
"2120";"jungle";"Skarner";"Naafiri";"15.8.675.448";3;1,66666666666667;2,33333333333333;7,66666666666667;98,6666666666667;179;4764;9697,66666666667;3;2;2,33333333333333;103,333333333333;217;4926;10830,6666666667;-1,33333333333333;0,333333333333333;5,33333333333333;-4,66666666666666;-38;-162;-1133;-1,33333333333333;0,333333333333333;5,33333333333333;-4,66666666666666;-38;-162;-1133
"2121";"jungle";"Skarner";"Nidalee";"15.2.653.8382";1;4;2;4;104;195;5235;10460;1;1;5;106;224;5023;10063;3;1;-1;-2;-29;212;397;3;1;-1;-2;-29;212;397
"2122";"jungle";"Skarner";"Nidalee";"15.4.658.6996";1;2;2;8;83;162;3791;8644;1;2;6;85;179;3872;9057;1;0;2;-2;-17;-81;-413;1;0;2;-2;-17;-81;-413
"2123";"jungle";"Skarner";"Nidalee";"15.6.667.3303";1;1;1;7;45;223;2312;11187;4;1;5;57;290;2762;14433;-3;0;2;-12;-67;-450;-3246;-3;0;2;-12;-67;-450;-3246
"2124";"jungle";"Skarner";"Nocturne";"15.4.658.6996";1;2;4;9;15;193;998;11226;5;1;6;16;179;1027;11125;-3;3;3;-1;14;-29;101;-3;3;3;-1;14;-29;101
"2125";"jungle";"Skarner";"Nocturne";"15.8.675.448";1;2;2;3;100;253;4666;13061;2;0;5;96;280;4517;14745;0;2;-2;4;-27;149;-1684;0;2;-2;4;-27;149;-1684
"2126";"jungle";"Skarner";"Olaf";"15.3.655.330";1;0;3;5;23;115;1522;6890;5;5;6;25;157;1381;9860;-5;-2;-1;-2;-42;141;-2970;-5;-2;-1;-2;-42;141;-2970
"2127";"jungle";"Skarner";"Pantheon";"15.5.662.5311";2;4,5;2;11;85;228,5;4205,5;13241,5;3,5;4,5;6,5;85;188,5;4117,5;11361;1;-2,5;4,5;0;40;88;1880,5;1;-2,5;4,5;0;40;88;1880,5
"2128";"jungle";"Skarner";"Pantheon";"15.7.671.9073";1;5;1;12;84;153;4845;9821;3;3;4;102;223;4703;11325;2;-2;8;-18;-70;142;-1504;2;-2;8;-18;-70;142;-1504
"2129";"jungle";"Skarner";"Pantheon";"15.8.675.448";1;0;3;1;108;175;4537;8660;5;2;4;103;221;5874;11603;-5;1;-3;5;-46;-1337;-2943;-5;1;-3;5;-46;-1337;-2943
"2130";"jungle";"Skarner";"Poppy";"15.9.678.398";1;0;5;2;99;151;4411;7698;3;1;11;92;179;4592;10678;-3;4;-9;7;-28;-181;-2980;-3;4;-9;7;-28;-181;-2980
"2131";"jungle";"Skarner";"Sejuani";"15.3.655.330";1;1;2;9;92;174;4230;9974;2;3;8;96;200;4540;10642;-1;-1;1;-4;-26;-310;-668;-1;-1;1;-4;-26;-310;-668
"2132";"jungle";"Skarner";"Sejuani";"15.5.662.5311";4;1,5;2,5;5;87,5;157,75;4241;8500,5;2,5;1;6;92;168,75;4507,5;9496;-1;1,5;-1;-4,5;-11;-266,5;-995,5;-1;1,5;-1;-4,5;-11;-266,5;-995,5
"2133";"jungle";"Skarner";"Sejuani";"15.6.667.3303";5;1,6;2,4;8,8;92,2;194,4;4518,4;10147,4;1,8;2,6;6,6;86,2;177,4;4378;9957,2;-0,2;-0,2;2,2;6;17;140,4;190,199999999999;-0,2;-0,2;2,2;6;17;140,4;190,199999999999
"2134";"jungle";"Skarner";"Sejuani";"15.7.669.5499";1;3;4;14;88;228;4502;12345;7;3;19;101;224;4965;15107;-4;1;-5;-13;4;-463;-2762;-4;1;-5;-13;4;-463;-2762
"2135";"jungle";"Skarner";"Sejuani";"15.7.671.9073";3;2;2,66666666666667;7;90,3333333333333;168,666666666667;4832,33333333333;9983,33333333333;0,333333333333333;2,33333333333333;4,66666666666667;98,3333333333333;176,666666666667;4207,66666666667;8506,33333333333;1,66666666666667;0,333333333333333;2,33333333333333;-8;-8;624,666666666666;1477;1,66666666666667;0,333333333333333;2,33333333333333;-8;-8;624,666666666666;1477
"2136";"jungle";"Skarner";"Sejuani";"15.8.674.6483";1;0;5;4;98;250;4461;11949;0;0;7;108;252;4586;12212;0;5;-3;-10;-2;-125;-263;0;5;-3;-10;-2;-125;-263
"2137";"jungle";"Skarner";"Sejuani";"15.8.675.448";9;0,888888888888889;2,44444444444444;5,33333333333333;95,1111111111111;180,111111111111;4421,33333333333;9226,88888888889;1;1,66666666666667;5,11111111111111;100,888888888889;187,111111111111;4619,77777777778;9289,55555555555;-0,111111111111111;0,777777777777778;0,222222222222222;-5,77777777777777;-7;-198,444444444444;-62,6666666666661;-0,111111111111111;0,777777777777778;0,222222222222222;-5,77777777777777;-7;-198,444444444444;-62,6666666666661
"2138";"jungle";"Skarner";"Taliyah";"15.4.658.6996";1;1;6;3;55;136;3474;7483;10;2;8;61;188;4445;11831;-9;4;-5;-6;-52;-971;-4348;-9;4;-5;-6;-52;-971;-4348
"2139";"jungle";"Skarner";"Trundle";"15.4.658.6996";1;2;6;5;0;168;500;9273;2;2;13;0;213;500;12380;0;4;-8;0;-45;0;-3107;0;4;-8;0;-45;0;-3107
